index,51,53,54,55,56,57,58,59
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__BD2-11 terrestrial group;D_3__uncultured bacterium,5,0,4,0,0,0,0,19
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__Gemmatimonadetes;D_3__Gemmatimonadales,258,93,115,107,614,159,533,80
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__S0134 terrestrial group;D_3__uncultured bacterium,5,58,7,0,40,28,0,0
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__S0134 terrestrial group;__,6,0,0,0,10,0,0,0
D_0__Bacteria;D_1__Gracilibacteria;Ambiguous_taxa;Ambiguous_taxa,4,0,0,0,0,0,2,0
D_0__Bacteria;D_1__Gracilibacteria;__;__,0,0,0,0,0,3,0,0
D_0__Bacteria;D_1__Hydrogenedentes;D_2__uncultured bacterium;D_3__uncultured bacterium,4,0,0,0,6,0,0,0
D_0__Bacteria;D_1__Hydrogenedentes;__;__,0,3,2,0,0,0,0,3
D_0__Bacteria;D_1__Ignavibacteriae;D_2__Ignavibacteria;D_3__Ignavibacteriales,0,0,0,13,0,0,0,0
D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured Fibrobacteres bacterium;D_3__uncultured Fibrobacteres bacterium,0,0,8,0,0,0,0,0
D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured bacterium;D_3__uncultured bacterium,0,0,20,8,0,5,0,68
D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured prokaryote;D_3__uncultured prokaryote,0,0,2,0,0,0,0,0
D_0__Bacteria;D_1__Microgenomates;D_2__Candidatus Woesebacteria;D_3__uncultured bacterium,4,0,0,0,3,0,0,0
D_0__Bacteria;D_1__Microgenomates;D_2__uncultured candidate division WS6 bacterium;D_3__uncultured candidate division WS6 bacterium,4,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Microgenomates;D_2__uncultured soil bacterium;D_3__uncultured soil bacterium,3,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Nitrospirae;D_2__Nitrospira;D_3__Nitrospirales,16,75,146,127,13,51,13,74
D_0__Bacteria;D_1__Omnitrophica;D_2__Omnitrophica Incertae Sedis;D_3__Unknown Order,0,0,0,0,0,40,0,0
D_0__Bacteria;D_1__Omnitrophica;D_2__uncultured bacterium;D_3__uncultured bacterium,0,5,0,0,0,0,0,0
D_0__Bacteria;D_1__Parcubacteria;D_2__Candidatus Adlerbacteria;D_3__uncultured bacterium,26,4,9,0,42,0,0,0
D_0__Bacteria;D_1__Parcubacteria;D_2__Candidatus Azambacteria;D_3__uncultured bacterium,98,31,12,0,28,5,76,0
D_0__Bacteria;D_1__Parcubacteria;D_2__Candidatus Azambacteria;D_3__uncultured soil bacterium,1,0,0,0,2,0,0,0
D_0__Bacteria;D_1__Parcubacteria;D_2__Candidatus Azambacteria;__,0,0,0,0,13,0,0,0
D_0__Bacteria;D_1__Parcubacteria;D_2__Candidatus Campbellbacteria;D_3__uncultured bacterium,12,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Parcubacteria;D_2__Candidatus Magasanikbacteria;D_3__uncultured bacterium,4,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Parcubacteria;D_2__Candidatus Moranbacteria;D_3__uncultured bacterium,0,0,4,0,0,0,7,0
D_0__Bacteria;D_1__Parcubacteria;D_2__Candidatus Moranbacteria;D_3__uncultured soil bacterium,4,11,0,0,9,0,0,0
D_0__Bacteria;D_1__Parcubacteria;D_2__Candidatus Nomurabacteria;D_3__uncultured bacterium,58,8,6,0,0,14,21,17
D_0__Bacteria;D_1__Parcubacteria;D_2__Candidatus Nomurabacteria;__,0,0,0,2,28,0,0,0
D_0__Bacteria;D_1__Parcubacteria;D_2__Candidatus Uhrbacteria;D_3__uncultured bacterium,25,0,0,0,0,4,0,8
D_0__Bacteria;D_1__Parcubacteria;D_2__groundwater metagenome;D_3__groundwater metagenome,8,0,0,0,21,0,0,0
D_0__Bacteria;D_1__Parcubacteria;D_2__uncultured bacterium;D_3__uncultured bacterium,35,6,2,12,7,0,68,0
D_0__Bacteria;D_1__Parcubacteria;D_2__uncultured soil bacterium;D_3__uncultured soil bacterium,0,0,0,0,0,0,4,0
D_0__Bacteria;D_1__Parcubacteria;__;__,38,0,2,2,22,32,3,12
D_0__Bacteria;D_1__Peregrinibacteria;D_2__Candidatus Peribacteria;D_3__uncultured bacterium,1,4,0,0,0,0,0,0
D_0__Bacteria;D_1__Peregrinibacteria;D_2__uncultured bacterium;D_3__uncultured bacterium,0,0,0,0,0,5,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__OM190;D_3__uncultured bacterium,3,0,6,0,0,5,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__OM190;D_3__uncultured soil bacterium,0,0,2,0,0,0,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__CCM11a,0,0,6,0,0,0,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__CPla-3 termite group,21,11,0,0,21,0,0,7
D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__Phycisphaerales,3,4,0,19,5,27,0,3
D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__Tepidisphaerales,259,153,168,137,246,226,537,157
D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Planctomycetales,358,223,553,381,121,277,208,435
D_0__Bacteria;D_1__Planctomycetes;D_2__vadinHA49;D_3__uncultured bacterium,0,0,0,0,0,91,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__vadinHA49;__,0,0,11,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Alphaproteobacteria Incertae Sedis,65,23,0,0,43,24,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Caulobacterales,220,222,130,102,309,157,127,50
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales,2266,2132,2440,3024,3062,953,900,2062
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales,12,4,251,82,7,94,99,140
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales,291,330,343,383,788,738,169,349
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales,43,53,0,9,77,268,3,4
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales,514,595,316,446,697,327,682,599
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;__,0,0,0,0,14,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__B1-7BS,0,0,26,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Betaproteobacteria Incertae Sedis,0,0,0,0,0,12,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Burkholderiales,622,705,637,661,473,1103,1221,437
D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Methylophilales,194,244,9,9,53,17,61,28
D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Nitrosomonadales,289,518,341,515,156,158,76,685
D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Procabacteriales,0,0,0,0,0,0,5,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Rhodocyclales,2,0,33,2,40,45,38,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__SC-I-84,54,30,218,236,176,107,98,54
D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__TRA3-20,111,145,216,62,31,37,24,66
D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;__,0,0,0,13,6,0,6,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales,37,29,84,15,56,120,79,46
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bradymonadales,0,0,0,0,0,7,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfobacterales,0,0,4,0,0,0,0,5
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfurellales,8,0,168,141,0,10,0,91
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfuromonadales,0,14,12,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales,1583,1555,819,976,1182,1002,2019,660
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__NB1-j,0,0,94,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Oligoflexales,82,43,40,9,15,215,121,30
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__SAR324 clade(Marine group B),0,0,2,3,11,2,9,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Syntrophobacterales,0,0,9,0,0,3,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;__,0,1,0,0,0,2,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__34P16,0,0,0,0,0,10,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Acidiferrobacterales,8,0,50,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Acidithiobacillales,0,0,0,0,0,42,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Aeromonadales,0,0,0,3,0,16,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales,9,0,31,45,9,275,367,33
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Chromatiales,0,0,0,0,0,8,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacteriales,0,0,7,0,1,13,30,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Gammaproteobacteria Incertae Sedis,0,0,10,0,0,156,0,16
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__HTA4,7,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__KI89A clade,0,0,22,47,0,7,0,25
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Legionellales,9,12,1,13,9,37,6,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Methylococcales,0,19,7,2,0,0,1,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales,37,62,17,33,0,11,0,15
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales,20,36,0,68,21,144,23,41
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Xanthomonadales,1103,1267,1155,1191,1415,1039,1068,1288
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;__,4,0,0,0,10,12,0,18
D_0__Bacteria;D_1__Proteobacteria;D_2__JTB23;D_3__uncultured bacterium,0,0,0,4,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__SPOTSOCT00m83;D_3__uncultured bacterium,0,3,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__SPOTSOCT00m83;__,2,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;__;__,3,2,0,0,0,4,3,0
D_0__Bacteria;D_1__SR1 (Absconditabacteria);D_2__uncultured candidate division SR1 bacterium;D_3__uncultured candidate division SR1 bacterium,7,0,0,0,0,20,0,0
D_0__Bacteria;D_1__Saccharibacteria;Ambiguous_taxa;Ambiguous_taxa,31,0,0,0,0,0,11,0
D_0__Bacteria;D_1__Saccharibacteria;D_2__uncultured Candidatus Saccharibacteria bacterium;D_3__uncultured Candidatus Saccharibacteria bacterium,46,32,11,5,58,9,9,0
D_0__Bacteria;D_1__Saccharibacteria;D_2__uncultured bacterium SBR2113;D_3__uncultured bacterium SBR2113,2,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Saccharibacteria;D_2__uncultured bacterium;D_3__uncultured bacterium,23,4,15,0,6,14,24,0
D_0__Bacteria;D_1__Saccharibacteria;D_2__uncultured soil bacterium;D_3__uncultured soil bacterium,36,40,17,3,12,0,13,0
D_0__Bacteria;D_1__Saccharibacteria;__;__,171,120,17,24,338,55,59,35
D_0__Bacteria;D_1__Spirochaetae;D_2__Spirochaetes;D_3__Spirochaetales,0,0,6,6,0,34,0,0
D_0__Bacteria;D_1__TM6 (Dependentiae);D_2__uncultured bacterium;D_3__uncultured bacterium,1,10,0,0,15,5,0,0
D_0__Bacteria;D_1__TM6 (Dependentiae);D_2__uncultured soil bacterium;D_3__uncultured soil bacterium,2,0,0,0,0,0,0,0
D_0__Bacteria;D_1__TM6 (Dependentiae);__;__,0,0,4,0,6,0,0,0
D_0__Bacteria;D_1__Tectomicrobia;D_2__uncultured bacterium;D_3__uncultured bacterium,0,0,0,14,0,0,0,12
D_0__Bacteria;D_1__Verrucomicrobia;D_2__OPB35 soil group;D_3__Unknown Order,1,0,0,0,0,13,0,0
D_0__Bacteria;D_1__Verrucomicrobia;D_2__OPB35 soil group;D_3__uncultured Verrucomicrobia bacterium,9,7,0,20,0,7,0,7
D_0__Bacteria;D_1__Verrucomicrobia;D_2__OPB35 soil group;D_3__uncultured bacterium,10,0,22,84,27,58,0,0
