index,51,53,54,55,56,57,58,59
D_0__Bacteria;D_1__Saccharibacteria;D_2__uncultured Candidatus Saccharibacteria bacterium,46,32,11,5,58,9,9,0
D_0__Bacteria;D_1__Saccharibacteria;D_2__uncultured bacterium,23,4,15,0,6,14,24,0
D_0__Bacteria;D_1__Saccharibacteria;D_2__uncultured bacterium SBR2113,2,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Saccharibacteria;D_2__uncultured soil bacterium,36,40,17,3,12,0,13,0
D_0__Bacteria;D_1__Saccharibacteria;__,171,120,17,24,338,55,59,35
D_0__Bacteria;D_1__Spirochaetae;D_2__Spirochaetes,0,0,6,6,0,34,0,0
D_0__Bacteria;D_1__TM6 (Dependentiae);D_2__uncultured bacterium,1,10,0,0,15,5,0,0
D_0__Bacteria;D_1__TM6 (Dependentiae);D_2__uncultured soil bacterium,2,0,0,0,0,0,0,0
D_0__Bacteria;D_1__TM6 (Dependentiae);__,0,0,4,0,6,0,0,0
D_0__Bacteria;D_1__Tectomicrobia;D_2__uncultured bacterium,0,0,0,14,0,0,0,12
D_0__Bacteria;D_1__Verrucomicrobia;D_2__OPB35 soil group,221,191,205,280,243,255,397,242
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Opitutae,830,314,150,247,436,321,224,124
D_0__Bacteria;D_1__Verrucomicrobia;D_2__S-BQ2-57 soil group,0,0,0,9,0,0,0,0
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Spartobacteria,354,288,871,593,203,441,524,341
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobia Incertae Sedis,0,0,0,5,7,23,7,0
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae,95,68,106,138,23,250,177,64
D_0__Bacteria;D_1__WS2;__,16,0,0,0,0,0,0,0
D_0__Bacteria;D_1__WS6;D_2__uncultured bacterium,8,0,0,0,0,0,6,0
D_0__Bacteria;D_1__WS6;D_2__uncultured organism,0,0,0,0,0,0,7,0
